Host,Version
http://openbell.ole.org:5984,0.12.59
http://old.vi.ole.org:5985,0.12.16
http://perubell.ole.org:5986,0.12.59
http://somaliabell.ole.org:5987,0.12.59
http://ghanabell.ole.org:5988,0.12.59
http://earthbell.ole.org:5989,0.12.15
http://madagascarbell.ole.org:5990,0.12.59
http://kenyabell.ole.org:5991,0.12.59
http://syriabell.ole.org:5992,0.12.59
http://turkeybell.ole.org:5993,0.12.59
http://corebell.ole.org:5995,0.12.48
http://planethealth.ole.org:5996,0.12.59
http://oneroom.ole.org:5997,0.12.26
http://ugandabell.ole.org:5998,0.12.59
http://uganda.planethealth.org:5998,0.12.59
http://vi.ole.org:5999,0.12.59
http://leonardmensah.vi.ole.org:5980,0.12.59
http://sente.vi.ole.org:5979,0.12.52
http://laxman.ht.ole.org:5978,0.12.55
http://prajwol.ht.ole.org:5977,0.12.52
http://subash.ht.ole.org:5976,0.12.69
http://rupesh.ht.ole.org:5975,0.12.69
http://pr0chin.ht.ole.org:5974,0.12.69
